"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,59,1.76333333333333,1.76333333333333,0,0,0,0,0
2009,2,145,1.69,1.69,0,0,0,0,0
2009,3,139,1.58,1.58,0,0,0,0,0
2009,4,143,1.78,1.78,0,0,0,0,0
2009,5,144,1.57,1.81,-0.24,-0.132596685082873,1,0,3
2009,6,182,1.6275,1.7875,-0.16,-0.0883977900552486,0,0,3
2009,7,189,1.78,1.78,0,0,0,0,0
2009,8,192,1.585,1.595,-0.01,-0.00628930817610063,1,0,0
2009,9,202,1.654,1.654,0,0,0,0,0
2009,10,154,1.8225,1.8225,0,0,0,0,0
2009,11,149,1.7975,1.7975,0,0,0,0,0
2009,12,127,1.798,1.798,0,0,0,0,0
2010,1,104,1.8375,1.8375,0,0,0,0,0
2010,2,145,1.6175,1.76,-0.1425,-0.0809659090909091,0,0,3
2010,3,176,1.726,1.8,-0.074,-0.0420454545454545,0,0,2
2010,4,130,1.785,1.785,0,0,0,0,0
2010,5,103,1.7875,1.7875,0,0,0,0,0
2010,6,173,1.8,1.794,0.00600000000000001,0.00335195530726257,0,1,0
2010,7,130,1.815,1.815,0,0,0,0,0
2010,8,103,1.7775,1.7775,0,0,0,0,0
2010,9,182,1.676,1.82,-0.144,-0.0791208791208791,0,0,3
2010,10,106,1.5675,1.7625,-0.195,-0.107142857142857,0,0,3
2010,11,108,1.585,1.585,0,0,0,0,0
2010,12,130,1.562,1.562,0,0,0,0,0
2011,1,168,1.585,1.585,0,0,0,0,0
2011,2,136,1.7175,1.7175,0,0,0,0,0
2011,3,231,1.61,1.77,-0.16,-0.0903954802259887,2,0,2
2011,4,94,1.8025,1.8025,0,0,0,0,0
2011,5,102,1.79,1.79,0,0,0,0,0
2011,6,143,1.77,1.77,0,0,0,0,0
2011,7,131,1.685,1.79,-0.105,-0.058659217877095,1,0,1
2011,8,159,1.648,1.69,-0.042,-0.023463687150838,0,0,1
2011,9,122,1.71,1.71,0,0,0,0,0
2011,10,168,1.5725,1.5725,0,0,1,0,0
2011,11,115,1.798,1.798,0,0,0,0,0
2011,12,110,1.605,1.605,0,0,0,0,0
2012,1,16,1.65,1.65,0,0,0,0,0
