"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,111,2.96666666666667,2.96666666666667,0,0,0,0,0
2009,2,126,2.3925,2.99,-0.5975,-0.199832775919732,0,0,3
2009,3,126,2.605,2.99,-0.385,-0.12876254180602,0,0,3
2009,4,190,2.912,2.912,0,0,0,0,0
2009,5,436,2.505,2.92,-0.415,-0.138795986622074,1,2,0
2009,6,371,2.65,2.77,-0.12,-0.0433212996389892,2,3,0
2009,7,187,2.868,2.846,0.022,0.00794223826714801,0,1,0
2009,8,835,2.205,2.88,-0.675,-0.234375,2,0,2
2009,9,202,2.878,2.878,0,0,0,0,0
2009,10,138,3.16,3.16,0,0,0,0,0
2009,11,124,2.8825,3.0175,-0.135,-0.0459183673469388,1,1,0
2009,12,612,2.738,3.074,-0.336,-0.114285714285714,1,2,0
2010,1,115,3.16,3.16,0,0,0,0,0
2010,2,74,2.7625,3.1425,-0.38,-0.119122257053292,0,0,2
2010,3,320,2.788,2.892,-0.104,-0.0346666666666667,1,1,0
2010,4,592,2.6,2.79,-0.19,-0.0695970695970696,1,0,0
2010,5,1084,2.01,2.73,-0.72,-0.263736263736264,1,3,1
2010,6,325,2.672,2.806,-0.134,-0.0471830985915493,1,2,0
2010,7,419,2.6625,2.86,-0.1975,-0.0695422535211268,1,1,0
2010,8,219,2.8025,2.8025,0,0,0,0,0
2010,9,120,3.102,3.102,0,0,0,0,0
2010,10,93,3.25,3.25,0,0,0,0,0
2010,11,83,3.1,3.32,-0.22,-0.0662650602409638,0,0,2
2010,12,103,3.19,3.258,-0.068,-0.0204819277108434,0,0,1
2011,1,107,3.27,3.27,0,0,0,0,0
2011,2,374,2.755,3.32,-0.565,-0.170180722891566,1,2,1
2011,3,262,3.112,3.32,-0.208,-0.0626506024096385,0,5,0
2011,4,55,3.28,3.28,0,0,0,0,0
2011,5,117,2.975,3.0625,-0.0875,-0.0293624161073826,0,0,1
2011,6,388,2.754,3.144,-0.39,-0.11890243902439,2,2,0
2011,7,164,3.245,3.245,0,0,0,0,0
2011,8,178,3.134,3.134,0,0,0,0,0
2011,9,151,3.235,3.235,0,0,0,0,0
2011,10,165,3.305,3.305,0,0,0,0,0
2011,11,226,3.058,3.3,-0.242,-0.0715976331360947,1,0,1
2011,12,633,2.67,3.2825,-0.6125,-0.190809968847352,2,2,0
2012,1,21,3.38,3.38,0,0,0,0,0
