"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,59,1.39,1.39,0,0,0,0,0
2009,2,74,1.4675,1.4675,0,0,0,0,0
2009,3,91,1.47,1.47,0,0,0,0,0
2009,4,77,1.374,1.448,-0.074,-0.0517482517482517,0,0,2
2009,5,75,1.235,1.43,-0.195,-0.136363636363636,0,0,4
2009,6,86,1.47,1.47,0,0,0,0,0
2009,7,79,1.42,1.674,-0.254,-0.152095808383234,0,0,3
2009,8,45,1.435,1.6275,-0.1925,-0.115269461077844,0,0,3
2009,9,91,1.496,1.496,0,0,0,0,0
2009,10,89,1.4625,1.4775,-0.015,-0.01,0,1,0
2009,11,90,1.47,1.4675,0.0025,0.00170068027210884,0,2,0
2009,12,107,1.304,1.47,-0.166,-0.112925170068027,0,5,0
2010,1,61,1.245,1.47,-0.225,-0.153061224489796,2,3,0
2010,2,63,1.4375,1.485,-0.0475,-0.032312925170068,0,1,1
2010,3,71,1.48,1.48,0,0,0,0,0
2010,4,58,1.485,1.485,0,0,0,0,0
2010,5,64,1.445,1.445,0,0,0,0,0
2010,6,77,1.382,1.382,0,0,0,0,0
2010,7,76,1.38,1.38,0,0,0,0,0
2010,8,51,1.3625,1.3625,0,0,0,0,0
2010,9,78,1.364,1.364,0,0,0,0,0
2010,10,63,1.5225,1.5225,0,0,0,0,0
2010,11,65,1.5325,1.5325,0,0,0,0,0
2010,12,105,1.542,1.542,0,0,0,0,0
2011,1,69,1.545,1.545,0,0,0,0,0
2011,2,41,1.5475,1.5475,0,0,0,0,0
2011,3,41,1.534,1.534,0,0,0,0,0
2011,4,42,1.55,1.55,0,0,0,1,0
2011,5,44,1.5475,1.5475,0,0,0,0,0
2011,6,50,1.55,1.55,0,0,0,0,0
2011,7,40,1.55,1.55,0,0,0,0,0
2011,8,31,1.56,1.56,0,0,0,0,0
2011,9,29,1.55,1.55,0,0,0,0,0
2011,10,37,1.5775,1.5775,0,0,0,0,0
2011,11,37,1.63,1.63,0,0,0,0,0
2011,12,39,1.6275,1.6275,0,0,0,0,0
2012,1,8,1.63,1.63,0,0,0,0,0
