"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,46,6.09,6.29666666666667,-0.206666666666666,-0.0328042328042328,2,2,0
2009,2,39,6.3575,6.3575,0,0,0,0,0
2009,3,36,6.065,6.065,0,0,0,0,0
2009,4,77,6.15,6.35,-0.2,-0.0333889816360601,2,2,0
2009,5,54,6.19,6.59,-0.4,-0.0606980273141123,1,1,0
2009,6,45,6.2325,6.59,-0.3575,-0.0542488619119878,1,1,0
2009,7,74,5.978,6.59,-0.612,-0.0928679817905918,2,2,0
2009,8,40,6.59,6.59,0,0,0,0,0
2009,9,196,5.742,6.59,-0.848,-0.128679817905918,2,2,0
2009,10,77,5.53,6.59,-1.06,-0.160849772382398,0,0,2
2009,11,48,6.04,6.59,-0.55,-0.0834597875569044,2,1,0
2009,12,67,6.37,6.59,-0.22,-0.0333839150227618,1,0,0
2010,1,65,6.19,6.59,-0.4,-0.0606980273141123,1,1,0
2010,2,30,6.59,6.59,0,0,0,1,0
2010,3,171,4.92,6.59,-1.67,-0.253414264036419,3,3,0
2010,4,28,6.59,6.59,0,0,0,0,0
2010,5,29,6.59,6.59,0,0,0,0,0
2010,6,83,5.926,6.558,-0.632,-0.0959028831562974,2,2,0
2010,7,56,6.135,6.59,-0.455,-0.0690440060698027,1,1,0
2010,8,93,5.8,6.59,-0.79,-0.119878603945372,2,2,0
2010,9,98,4.972,6.59,-1.618,-0.245523520485584,1,1,4
2010,10,117,5.14,6.59,-1.45,-0.220030349013657,2,2,1
2010,11,28,6.3175,6.59,-0.2725,-0.041350531107739,1,0,0
2010,12,45,6.35,6.536,-0.186,-0.0282245827010622,1,0,0
2011,1,34,6.59,6.59,0,0,0,0,0
2011,2,82,5.815,6.59,-0.775,-0.117602427921093,1,2,0
2011,3,148,5.152,6.59,-1.438,-0.218209408194234,4,4,0
2011,4,51,6.1175,6.635,-0.5175,-0.0785280728376328,1,0,0
2011,5,80,5.5425,6.56,-1.0175,-0.154023460704231,1,1,2
2011,6,109,5.27,6.49,-1.22,-0.187981510015408,2,1,3
2011,7,92,5.3,6.2775,-0.9775,-0.150616332819723,2,1,1
2011,8,105,5.584,5.64,-0.0559999999999999,-0.00992907801418438,2,2,0
2011,9,126,5.43,5.64,-0.21,-0.0372340425531914,2,2,0
2011,10,61,5.6725,5.6725,0,0,0,0,0
2011,11,106,5.68,5.8,-0.12,-0.0206896551724138,2,1,0
2011,12,47,5.8,5.8,0,0,0,0,0
2012,1,49,5,5.8,-0.8,-0.137931034482759,1,1,0
