"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,13,5,5.19333333333333,-0.193333333333333,-0.0365469439193447,0,2,0
2009,2,12,5.0325,5.08,-0.0474999999999999,-0.00923643410852711,0,3,0
2009,3,17,5.49,5.49,0,0,0,1,0
2009,4,36,5.068,5.49,-0.422,-0.0768670309653916,0,4,0
2009,5,19,5.115,5.24,-0.125,-0.0227686703096539,0,2,0
2009,6,15,5.365,5.365,0,0,0,0,0
2009,7,21,5.09,5.09,0,0.00182514391259751,0,4,0
2009,8,23,5.09,5.24,-0.15,-0.0254060032633573,0,2,0
2009,9,21,4.98,5.49,-0.51,-0.092896174863388,0,3,0
2009,10,13,4.99,5.49,-0.5,-0.0910746812386157,0,4,0
2009,11,10,5.265,5.265,0,0,0,2,0
2009,12,6,5.39,5.19,0.2,0.0385356454720616,0,3,0
2010,1,27,4.5,5.19,-0.69,-0.132947976878613,0,3,1
2010,2,8,5.49,5.49,0,0,0,0,0
2010,3,21,4.74,5.49,-0.75,-0.136612021857923,2,1,1
2010,4,4,5.49,5.49,0,0,0,1,0
2010,5,20,5.115,5.365,-0.25,-0.0455373406193078,2,2,0
2010,6,11,5.29,5.29,0,0,0,0,0
2010,7,18,5.315,5.49,-0.175,-0.0318761384335155,0,0,1
2010,8,32,4.965,5.49,-0.525,-0.0956284153005465,0,4,0
2010,9,34,4.918,5.49,-0.572,-0.104189435336976,1,2,2
2010,10,23,5.24,5.49,-0.25,-0.0455373406193078,0,0,1
2010,11,23,4.995,5.49,-0.495,-0.0901639344262295,0,0,2
2010,12,18,5.29,5.49,-0.2,-0.0364298724954463,0,0,1
2011,1,34,4.74,5.49,-0.75,-0.136612021857923,0,3,0
2011,2,25,5.49,5.49,0,0,0,0,0
2011,3,31,4.89,5.39,-0.5,-0.0910746812386157,0,1,2
2011,4,8,4.99,4.99,0,0,0,0,0
2011,5,8,4.4,4.99,-0.59,-0.118236472945892,0,0,3
2011,6,16,4.4,4.8425,-0.4425,-0.0886773547094188,0,0,3
2011,7,13,5.23,5.23,0,0,0,0,0
2011,8,24,4.934,5.23,-0.296,-0.0565965583173996,0,0,2
2011,9,9,4.52666666666667,5.23,-0.703333333333334,-0.134480560866794,0,0,2
2011,10,1,4.99,5.23,-0.24,-0.0458891013384322,0,1,0
2011,11,7,5.11,5.17,-0.0600000000000001,-0.011472275334608,0,1,0
2011,12,9,5.23,5.23,0,0,0,0,0
2012,1,3,5.23,5.23,0,0,0,0,0
