"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,6,6.61,7.04,-0.43,-0.0589849108367627,0,0,1
2009,2,9,5.59,6.79,-1.2,-0.176730486008836,0,0,2
2009,3,31,5.065,6.79,-1.725,-0.254050073637702,3,0,0
2009,4,6,6.79,6.79,0,0,0,0,0
2009,5,5,6.79,6.79,0,0,0,0,0
2009,6,8,6.465,6.79,-0.325,-0.0478645066273932,0,0,1
2009,7,16,5.49,6.79,-1.3,-0.191458026509573,0,0,4
2009,8,8,4.99,6.79,-1.8,-0.265095729013255,0,0,1
2009,9,6,5.74,5.74,0,0,0,0,0
2009,10,5,5.49,6.49,-1,-0.154083204930663,0,0,2
2009,11,5,6.49,6.49,0,0,0,0,0
2009,12,6,6.49,6.49,0,0,0,0,0
2010,1,21,4.615,6.49,-1.875,-0.288906009244992,0,0,3
2010,2,2,6.49,6.49,0,0,0,0,0
2010,4,4,6.62333333333333,6.62333333333333,0,0,0,0,0
2010,5,6,4.99,6.89,-1.9,-0.275761973875181,1,0,1
2010,6,4,5.89,6.49,-0.6,-0.0924499229583975,0,0,1
2010,7,7,5.29,6.49,-1.2,-0.184899845916795,0,0,3
2010,8,2,6.89,6.89,0,0,0,0,0
2010,9,6,6.35666666666667,7.29,-0.933333333333333,-0.128029263831733,1,0,0
2010,10,5,5.89,7.29,-1.4,-0.192043895747599,1,2,0
2010,11,21,5.89,7.29,-1.4,-0.192043895747599,1,0,0
2010,12,8,4.615,7.29,-2.675,-0.366941015089163,1,0,1
2011,1,2,4.99,7.29,-2.3,-0.315500685871056,1,1,0
2011,2,2,7.29,7.29,0,0,0,0,0
2011,3,1,7.29,7.29,0,0,0,0,0
2011,4,1,7.49,7.49,0,0,0,0,0
2011,5,7,4.765,7.49,-2.725,-0.363818424566088,2,0,0
2011,6,1,7.49,7.49,0,0,0,0,0
2011,7,3,4.99,7.49,-2.5,-0.333778371161549,1,0,0
2011,8,5,4.99,7.49,-2.5,-0.333778371161549,1,0,0
2011,9,2,7.49,7.49,0,0,0,0,0
2011,10,8,6.49,7.49,-1,-0.133511348464619,1,0,1
2011,11,6,5.07,7.49,-2.42,-0.323097463284379,1,0,0
2011,12,3,6.99,6.99,0,0,0,0,0
2012,1,4,5,6.99,-1.99,-0.284692417739628,1,0,0
