"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,7,50,2.65666666666667,2.65666666666667,0,0,0,0,0
2009,8,155,3.29,3.29,0,0,0,0,0
2009,9,260,3.16,3.286,-0.126,-0.0382978723404255,0,1,0
2009,10,186,3.145,3.24,-0.095,-0.0297805642633229,0,0,1
2009,11,129,3.29,3.29,0,0,0,0,0
2009,12,207,3.29,3.29,0,0,0,0,0
2010,1,140,3.29,3.29,0,0,0,0,0
2010,2,231,3.0125,3.29,-0.2775,-0.0843465045592705,2,0,0
2010,3,179,2.87,3.29,-0.42,-0.127659574468085,0,0,4
2010,4,243,3.2675,3.2675,0,0,0,0,0
2010,5,187,3.2325,3.2325,0,0,0,0,0
2010,6,248,3.278,3.278,0,0,0,0,0
2010,7,148,3.29,3.29,0,0,0,0,0
2010,8,293,3.03,3.215,-0.185,-0.0562310030395137,1,0,0
2010,9,285,3.24,3.24,0,0,0,0,0
2010,10,237,3.21,3.21,0,0,0,0,0
2010,11,162,3.4425,3.4425,0,0,0,0,0
2010,12,209,3.48,3.48,0,0,0,0,0
2011,1,200,3.465,3.465,0,0,0,0,0
2011,2,169,3.4175,3.4175,0,0,0,0,0
2011,3,374,3.098,3.48,-0.382,-0.109770114942529,2,0,0
2011,4,215,3.055,3.48,-0.425,-0.122126436781609,0,0,4
2011,5,225,3.12,3.3,-0.18,-0.0517241379310345,0,0,2
2011,6,225,3.108,3.108,0,0,0,0,0
2011,7,98,3.12,3.12,0,0,0,0,0
2011,8,163,3.082,3.082,0,0,0,0,0
2011,9,105,3.2775,3.2775,0,0,0,0,0
2011,10,179,2.7825,3.1525,-0.37,-0.117088607594937,1,1,1
2011,11,125,3.17,3.17,0,0,0,0,0
2011,12,110,3.1925,3.1925,0,0,0,0,0
2012,1,13,3.22,3.22,0,0,0,0,0
