"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"14-01-2009",23055,4116709428,1,1,1,3.99,3.99,4.59,0,0,1,2009-01-14,2009,1,14,-0.6,-0.130718954248366
"28-01-2009",23055,4116709428,1,1,1,3.99,3.99,4.59,0,0,1,2009-01-28,2009,1,28,-0.6,-0.130718954248366
"18-02-2009",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2009-02-18,2009,2,18,0,0
"25-02-2009",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2009-02-25,2009,2,25,0,0
"18-03-2009",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2009-03-18,2009,3,18,0,0
"27-05-2009",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2009-05-27,2009,5,27,0,0
"22-07-2009",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2009-07-22,2009,7,22,0,0
"05-08-2009",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2009-08-05,2009,8,5,0,0
"09-12-2009",23055,4116709428,1,1,1,3.69,3.69,3.69,0,0,0,2009-12-09,2009,12,9,0,0
"06-01-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-01-06,2010,1,6,0,0
"03-02-2010",23055,4116709428,1,1,1,4.29,4.29,4.29,0,0,0,2010-02-03,2010,2,3,0,0
"10-02-2010",23055,4116709428,3,2,2,13.77,4.59,4.59,0,0,0,2010-02-10,2010,2,10,0,0
"17-02-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-02-17,2010,2,17,0,0
"24-03-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-03-24,2010,3,24,0,0
"12-05-2010",23055,4116709428,1,1,1,4.29,4.29,4.29,0,0,0,2010-05-12,2010,5,12,0,0
"07-07-2010",23055,4116709428,3,1,1,13.77,4.59,4.59,0,0,0,2010-07-07,2010,7,7,0,0
"21-07-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-07-21,2010,7,21,0,0
"04-08-2010",23055,4116709428,2,2,2,9.18,4.59,4.59,0,0,0,2010-08-04,2010,8,4,0,0
"11-08-2010",23055,4116709428,1,1,1,4.49,4.49,4.49,0,0,0,2010-08-11,2010,8,11,0,0
"18-08-2010",23055,4116709428,1,1,1,4.49,4.49,4.49,0,0,0,2010-08-18,2010,8,18,0,0
"08-09-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-09-08,2010,9,8,0,0
"15-09-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-09-15,2010,9,15,0,0
"06-10-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-10-06,2010,10,6,0,0
"03-11-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-11-03,2010,11,3,0,0
"01-12-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-12-01,2010,12,1,0,0
"22-12-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-12-22,2010,12,22,0,0
"29-12-2010",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2010-12-29,2010,12,29,0,0
"12-01-2011",23055,4116709428,2,2,2,7.98,3.99,4.59,0,0,1,2011-01-12,2011,1,12,-0.6,-0.130718954248366
"20-07-2011",23055,4116709428,3,1,1,13.77,4.59,4.59,0,0,0,2011-07-20,2011,7,20,0,0
"09-11-2011",23055,4116709428,1,1,1,4.59,4.59,4.59,0,0,0,2011-11-09,2011,11,9,0,0
