"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"07-10-2009",11757,7110410470,2,2,2,4,2,2,0,0,0,2009-10-07,2009,10,7,0,0
"21-10-2009",11757,7110410470,1,1,1,2.24,2.24,2.24,0,0,0,2009-10-21,2009,10,21,0,0
"28-10-2009",11757,7110410470,2,2,2,4.48,2.24,2.24,0,0,0,2009-10-28,2009,10,28,0,0
"04-11-2009",11757,7110410470,1,1,1,2.24,2.24,2.24,0,0,0,2009-11-04,2009,11,4,0,0
"11-11-2009",11757,7110410470,1,1,1,2.24,2.24,2.24,0,0,0,2009-11-11,2009,11,11,0,0
"18-11-2009",11757,7110410470,1,1,1,2.4,2.4,2.4,0,0,0,2009-11-18,2009,11,18,0,0
"25-11-2009",11757,7110410470,1,1,1,2.4,2.4,2.4,0,0,0,2009-11-25,2009,11,25,0,0
"09-12-2009",11757,7110410470,2,2,2,4.8,2.4,2.4,0,0,0,2009-12-09,2009,12,9,0,0
"16-12-2009",11757,7110410470,1,1,1,2.48,2.48,2.48,0,0,0,2009-12-16,2009,12,16,0,0
"23-12-2009",11757,7110410470,5,5,4,12.4,2.48,2.48,0,0,0,2009-12-23,2009,12,23,0,0
"30-12-2009",11757,7110410470,1,1,1,2.48,2.48,2.48,0,0,0,2009-12-30,2009,12,30,0,0
"06-01-2010",11757,7110410470,1,1,1,2.48,2.48,2.48,0,0,0,2010-01-06,2010,1,6,0,0
"13-01-2010",11757,7110410470,1,1,1,2.48,2.48,2.48,0,0,0,2010-01-13,2010,1,13,0,0
"27-01-2010",11757,7110410470,1,1,1,2.48,2.48,2.48,0,0,0,2010-01-27,2010,1,27,0,0
"10-02-2010",11757,7110410470,2,2,2,4.98,2.49,2.49,0,0,0,2010-02-10,2010,2,10,0,0
"17-02-2010",11757,7110410470,1,1,1,2.49,2.49,2.49,0,0,0,2010-02-17,2010,2,17,0,0
"24-02-2010",11757,7110410470,4,4,4,9.96,2.49,2.49,0,0,0,2010-02-24,2010,2,24,0,0
"03-03-2010",11757,7110410470,1,1,1,2.49,2.49,2.49,0,0,0,2010-03-03,2010,3,3,0,0
"10-03-2010",11757,7110410470,3,3,3,7.47,2.49,2.49,0,0,0,2010-03-10,2010,3,10,0,0
"31-03-2010",11757,7110410470,1,1,1,2.49,2.49,2.49,0,0,0,2010-03-31,2010,3,31,0,0
"07-04-2010",11757,7110410470,1,1,1,2.49,2.49,2.49,0,0,0,2010-04-07,2010,4,7,0,0
"28-04-2010",11757,7110410470,2,2,2,4.98,2.49,2.49,0,0,0,2010-04-28,2010,4,28,0,0
"12-05-2010",11757,7110410470,1,1,1,2.39,2.39,2.39,0,0,0,2010-05-12,2010,5,12,0,0
"19-05-2010",11757,7110410470,1,1,1,2.39,2.39,2.39,0,0,0,2010-05-19,2010,5,19,0,0
"26-05-2010",11757,7110410470,2,2,2,4.78,2.39,2.39,0,0,0,2010-05-26,2010,5,26,0,0
"02-06-2010",11757,7110410470,1,1,1,2.39,2.39,2.39,0,0,0,2010-06-02,2010,6,2,0,0
