"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"14-01-2009",19533,1600027527,42,42,41,127.68,3.04,3.04,0,0,0,2009-01-14,2009,1,14,0,0
"21-01-2009",19533,1600027527,46,44,42,146.74,3.19,3.19,0,0,0,2009-01-21,2009,1,21,0,0
"28-01-2009",19533,1600027527,29,27,27,92.51,3.19,3.19,0,0,0,2009-01-28,2009,1,28,0,0
"04-02-2009",19533,1600027527,35,34,34,111.65,3.19,3.19,0,0,0,2009-02-04,2009,2,4,0,0
"11-02-2009",19533,1600027527,435,256,249,713.4,1.64,3.19,1,1,0,2009-02-11,2009,2,11,-1.55,-0.4858934169279
"18-02-2009",19533,1600027527,257,183,177,429.19,1.67,3.19,0,1,0,2009-02-18,2009,2,18,-1.52,-0.476489028213166
"25-02-2009",19533,1600027527,256,162,159,424.96,1.66,3.19,1,1,0,2009-02-25,2009,2,25,-1.53,-0.479623824451411
"04-03-2009",19533,1600027527,110,75,75,181.5,1.65,3.19,0,1,0,2009-03-04,2009,3,4,-1.54,-0.482758620689655
"11-03-2009",19533,1600027527,30,28,28,83.1,2.77,3.19,0,0,1,2009-03-11,2009,3,11,-0.42,-0.13166144200627
"18-03-2009",19533,1600027527,30,27,27,90.9,3.03,3.03,0,0,0,2009-03-18,2009,3,18,0,0
"25-03-2009",19533,1600027527,24,21,21,76.56,3.19,3.19,0,0,0,2009-03-25,2009,3,25,0,0
"01-04-2009",19533,1600027527,28,28,28,86.24,3.08,3.08,0,0,0,2009-04-01,2009,4,1,0,0
"08-04-2009",19533,1600027527,40,38,37,121.2,3.03,3.03,0,0,0,2009-04-08,2009,4,8,0,0
"15-04-2009",19533,1600027527,32,30,30,98.88,3.09,3.09,0,0,0,2009-04-15,2009,4,15,0,0
"22-04-2009",19533,1600027527,41,37,37,128.33,3.13,3.13,0,0,0,2009-04-22,2009,4,22,0,0
"29-04-2009",19533,1600027527,46,46,45,139.38,3.03,3.03,0,0,0,2009-04-29,2009,4,29,0,0
"06-05-2009",19533,1600027527,147,107,106,294,2,3.03,1,1,0,2009-05-06,2009,5,6,-1.03,-0.33993399339934
"13-05-2009",19533,1600027527,26,25,24,78.52,3.02,3.02,0,0,0,2009-05-13,2009,5,13,0,0
"20-05-2009",19533,1600027527,34,34,32,102,3,3,0,0,0,2009-05-20,2009,5,20,0,0
"27-05-2009",19533,1600027527,41,41,41,118.08,2.88,2.88,0,0,0,2009-05-27,2009,5,27,0,0
"03-06-2009",19533,1600027527,35,34,34,105.35,3.01,3.01,0,0,0,2009-06-03,2009,6,3,0,0
"10-06-2009",19533,1600027527,41,38,38,124.23,3.03,3.03,0,0,0,2009-06-10,2009,6,10,0,0
"17-06-2009",19533,1600027527,42,41,41,133.98,3.19,3.19,0,0,0,2009-06-17,2009,6,17,0,0
"24-06-2009",19533,1600027527,30,29,29,95.7,3.19,3.19,0,0,0,2009-06-24,2009,6,24,0,0
"01-07-2009",19533,1600027527,30,27,27,95.7,3.19,3.19,0,0,0,2009-07-01,2009,7,1,0,0
"08-07-2009",19533,1600027527,42,40,40,130.2,3.1,3.1,0,0,0,2009-07-08,2009,7,8,0,0
"15-07-2009",19533,1600027527,35,33,33,108.5,3.1,3.1,0,0,0,2009-07-15,2009,7,15,0,0
"22-07-2009",19533,1600027527,33,33,33,95.7,2.9,2.9,0,0,0,2009-07-22,2009,7,22,0,0
"29-07-2009",19533,1600027527,31,30,30,98.89,3.19,3.19,0,0,0,2009-07-29,2009,7,29,0,0
"05-08-2009",19533,1600027527,29,29,29,92.51,3.19,3.19,0,0,0,2009-08-05,2009,8,5,0,0
"12-08-2009",19533,1600027527,36,34,34,105.12,2.92,2.92,0,0,0,2009-08-12,2009,8,12,0,0
"19-08-2009",19533,1600027527,46,41,41,140.3,3.05,3.05,0,0,0,2009-08-19,2009,8,19,0,0
