"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"14-01-2009",23075,1600027527,43,39,39,124.27,2.89,2.89,0,0,0,2009-01-14,2009,1,14,0,0
"21-01-2009",23075,1600027527,30,29,29,94.2,3.14,3.14,0,0,0,2009-01-21,2009,1,21,0,0
"28-01-2009",23075,1600027527,44,44,44,140.36,3.19,3.19,0,0,0,2009-01-28,2009,1,28,0,0
"04-02-2009",23075,1600027527,62,62,62,197.78,3.19,3.19,0,0,0,2009-02-04,2009,2,4,0,0
"11-02-2009",23075,1600027527,728,524,496,1215.76,1.67,3.19,1,1,0,2009-02-11,2009,2,11,-1.52,-0.476489028213166
"18-02-2009",23075,1600027527,425,315,312,692.75,1.63,3.19,0,1,0,2009-02-18,2009,2,18,-1.56,-0.489028213166144
"25-02-2009",23075,1600027527,459,339,332,752.76,1.64,3.19,1,1,0,2009-02-25,2009,2,25,-1.55,-0.4858934169279
"04-03-2009",23075,1600027527,152,111,109,246.24,1.62,3.19,0,1,0,2009-03-04,2009,3,4,-1.57,-0.492163009404389
"11-03-2009",23075,1600027527,54,52,51,160.92,2.98,2.98,0,0,0,2009-03-11,2009,3,11,0,0
"18-03-2009",23075,1600027527,51,50,49,140.25,2.75,2.75,0,0,0,2009-03-18,2009,3,18,0,0
"25-03-2009",23075,1600027527,44,44,44,127.6,2.9,2.9,0,0,0,2009-03-25,2009,3,25,0,0
"01-04-2009",23075,1600027527,64,52,52,185.6,2.9,2.9,0,0,0,2009-04-01,2009,4,1,0,0
"08-04-2009",23075,1600027527,55,52,51,166.1,3.02,3.02,0,0,0,2009-04-08,2009,4,8,0,0
"15-04-2009",23075,1600027527,49,45,45,149.45,3.05,3.05,0,0,0,2009-04-15,2009,4,15,0,0
"22-04-2009",23075,1600027527,40,40,40,127.6,3.19,3.19,0,0,0,2009-04-22,2009,4,22,0,0
"29-04-2009",23075,1600027527,53,50,49,169.07,3.19,3.19,0,0,0,2009-04-29,2009,4,29,0,0
