"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"14-01-2009",24991,1111038078,8,8,8,20.72,2.59,2.59,0,0,0,2009-01-14,2009,1,14,0,0
"21-01-2009",24991,1111038078,69,41,40,68.31,0.99,2.59,1,0,0,2009-01-21,2009,1,21,-1.6,-0.617760617760618
"28-01-2009",24991,1111038078,68,51,50,67.32,0.99,2.59,0,0,1,2009-01-28,2009,1,28,-1.6,-0.617760617760618
"04-02-2009",24991,1111038078,53,35,34,54.06,1.02,2.59,0,0,1,2009-02-04,2009,2,4,-1.57,-0.606177606177606
"11-02-2009",24991,1111038078,24,18,18,23.76,0.99,2.59,0,1,0,2009-02-11,2009,2,11,-1.6,-0.617760617760618
"18-02-2009",24991,1111038078,19,17,17,48.45,2.55,2.55,0,0,0,2009-02-18,2009,2,18,0,0
"25-02-2009",24991,1111038078,3,2,2,7.65,2.55,2.55,0,0,0,2009-02-25,2009,2,25,0,0
"04-03-2009",24991,1111038078,14,14,14,35.98,2.57,2.57,0,0,0,2009-03-04,2009,3,4,0,0
"11-03-2009",24991,1111038078,6,6,6,15.3,2.55,2.55,0,0,0,2009-03-11,2009,3,11,0,0
"18-03-2009",24991,1111038078,9,9,9,23.31,2.59,2.59,0,0,0,2009-03-18,2009,3,18,0,0
"25-03-2009",24991,1111038078,7,7,7,18.13,2.59,2.59,0,0,0,2009-03-25,2009,3,25,0,0
"01-04-2009",24991,1111038078,14,14,14,36.26,2.59,2.59,0,0,0,2009-04-01,2009,4,1,0,0
"08-04-2009",24991,1111038078,6,6,6,15.54,2.59,2.59,0,0,0,2009-04-08,2009,4,8,0,0
"15-04-2009",24991,1111038078,10,10,10,25.6,2.56,2.56,0,0,0,2009-04-15,2009,4,15,0,0
"22-04-2009",24991,1111038078,45,36,35,46.8,1.04,2.56,1,1,0,2009-04-22,2009,4,22,-1.52,-0.59375
"29-04-2009",24991,1111038078,48,31,31,47.52,0.99,2.56,0,1,0,2009-04-29,2009,4,29,-1.57,-0.61328125
"06-05-2009",24991,1111038078,41,29,29,42.23,1.03,2.56,0,1,0,2009-05-06,2009,5,6,-1.53,-0.59765625
"13-05-2009",24991,1111038078,41,31,31,42.23,1.03,2.56,0,0,1,2009-05-13,2009,5,13,-1.53,-0.59765625
"20-05-2009",24991,1111038078,9,9,9,23.31,2.59,2.59,0,0,0,2009-05-20,2009,5,20,0,0
"27-05-2009",24991,1111038078,5,5,5,12.95,2.59,2.59,0,0,0,2009-05-27,2009,5,27,0,0
"03-06-2009",24991,1111038078,14,14,14,22.82,1.63,2.59,0,0,1,2009-06-03,2009,6,3,-0.96,-0.370656370656371
"10-06-2009",24991,1111038078,21,20,20,32.97,1.57,2.59,0,0,1,2009-06-10,2009,6,10,-1.02,-0.393822393822394
"17-06-2009",24991,1111038078,21,18,18,33.18,1.58,2.59,1,0,0,2009-06-17,2009,6,17,-1.01,-0.38996138996139
"24-06-2009",24991,1111038078,17,17,17,26.69,1.57,2.59,0,0,1,2009-06-24,2009,6,24,-1.02,-0.393822393822394
"01-07-2009",24991,1111038078,9,9,9,14.22,1.58,2.59,0,0,1,2009-07-01,2009,7,1,-1.01,-0.38996138996139
"08-07-2009",24991,1111038078,15,15,15,23.4,1.56,2.59,0,0,1,2009-07-08,2009,7,8,-1.03,-0.397683397683398
"15-07-2009",24991,1111038078,15,15,12,23.4,1.56,2.59,0,0,1,2009-07-15,2009,7,15,-1.03,-0.397683397683398
